/home/users/atodorova/alisa-thesis/malnet-cnn/scripts/attack_ResNet50-18.py:114: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  checkpoint = torch.load("/home/users/atodorova/alisa-thesis/malnet-cnn/finetuned-epoch_100.pt", map_location=args['device'])
/mnt/aiongpfs/users/atodorova/y/envs/thesis_env_310/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/mnt/aiongpfs/users/atodorova/y/envs/thesis_env_310/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=None`.
  warnings.warn(msg)

Iteration 54/10000 (0.54%) | Benign prob: 0.0000 | Best class: 42 | Time left: 10.85 min
Iteration 55/10000 (0.55%) | Benign prob: 0.0000 | Best class: 42 | Time left: 10.80 min
Iteration 56/10000 (0.56%) | Benign prob: 0.0000 | Best class: 42 | Time left: 10.76 min
Iteration 57/10000 (0.57%) | Benign prob: 0.0000 | Best class: 42 | Time left: 10.77 min
Iteration 58/10000 (0.58%) | Benign prob: 0.0000 | Best class: 42 | Time left: 10.72 min
Iteration 59/10000 (0.59%) | Benign prob: 0.0000 | Best class: 42 | Time left: 10.73 min
Iteration 60/10000 (0.60%) | Benign prob: 0.0000 | Best class: 42 | Time left: 10.68 min
Iteration 61/10000 (0.61%) | Benign prob: 0.0000 | Best class: 42 | Time left: 10.63 min
Iteration 62/10000 (0.62%) | Benign prob: 0.0000 | Best class: 42 | Time left: 10.65 min
Iteration 63/10000 (0.63%) | Benign prob: 0.0000 | Best class: 42 | Time left: 10.59 min
Iteration 64/10000 (0.64%) | Benign prob: 0.0000 | Best class: 42 | Time left: 10.65 min
Iteration 65/10000 (0.65%) | Benign prob: 0.0000 | Best class: 42 | Time left: 10.60 min
Iteration 66/10000 (0.66%) | Benign prob: 0.0000 | Best class: 42 | Time left: 10.58 min
Iteration 67/10000 (0.67%) | Benign prob: 0.0000 | Best class: 42 | Time left: 10.57 min
Iteration 68/10000 (0.68%) | Benign prob: 0.0000 | Best class: 42 | Time left: 10.55 min
Iteration 69/10000 (0.69%) | Benign prob: 0.0000 | Best class: 42 | Time left: 10.53 min
Iteration 70/10000 (0.70%) | Benign prob: 0.0000 | Best class: 42 | Time left: 10.49 min
Iteration 71/10000 (0.71%) | Benign prob: 0.0000 | Best class: 42 | Time left: 10.49 min
Iteration 72/10000 (0.72%) | Benign prob: 0.0000 | Best class: 42 | Time left: 10.46 min
Iteration 73/10000 (0.73%) | Benign prob: 0.0000 | Best class: 42 | Time left: 10.44 min
Iteration 74/10000 (0.74%) | Benign prob: 0.0000 | Best class: 42 | Time left: 10.43 min
Iteration 75/10000 (0.75%) | Benign prob: 0.0000 | Best class: 42 | Time left: 10.40 min
Iteration 76/10000 (0.76%) | Benign prob: 0.0000 | Best class: 42 | Time left: 10.36 min
Iteration 77/10000 (0.77%) | Benign prob: 0.0000 | Best class: 42 | Time left: 10.37 min
Iteration 78/10000 (0.78%) | Benign prob: 0.0000 | Best class: 42 | Time left: 10.36 min
Iteration 79/10000 (0.79%) | Benign prob: 0.0000 | Best class: 42 | Time left: 10.36 min
Iteration 80/10000 (0.80%) | Benign prob: 0.0000 | Best class: 42 | Time left: 10.39 min
Iteration 81/10000 (0.81%) | Benign prob: 0.0000 | Best class: 42 | Time left: 10.35 min
Iteration 82/10000 (0.82%) | Benign prob: 0.0000 | Best class: 42 | Time left: 10.36 min
